Date,Index,Open,High,Low,Close
2023-01-02,HDFC Bank,1622.050048828125,1639.0,1618.6500244140625,1629.1500244140625
2023-01-03,HDFC Bank,1624.550048828125,1643.5999755859375,1624.550048828125,1639.699951171875
2023-01-04,HDFC Bank,1635.0,1645.75,1607.449951171875,1610.550048828125
2023-01-05,HDFC Bank,1614.300048828125,1618.199951171875,1590.0,1599.699951171875
2023-01-06,HDFC Bank,1599.75,1608.9000244140625,1578.5,1594.3499755859375
2023-01-09,HDFC Bank,1595.800048828125,1611.0,1590.050048828125,1597.4000244140625
2023-01-10,HDFC Bank,1597.449951171875,1598.050048828125,1565.1500244140625,1569.300048828125
2023-01-11,HDFC Bank,1570.5999755859375,1598.0,1560.050048828125,1590.800048828125
2023-01-12,HDFC Bank,1585.25,1603.800048828125,1584.3499755859375,1599.699951171875
2023-01-13,HDFC Bank,1598.0,1609.949951171875,1586.0999755859375,1600.8499755859375
2023-01-16,HDFC Bank,1624.4000244140625,1624.4000244140625,1580.1500244140625,1585.25
2023-01-17,HDFC Bank,1592.0,1610.800048828125,1577.699951171875,1608.5999755859375
2023-01-18,HDFC Bank,1607.9000244140625,1641.0,1601.0,1636.949951171875
2023-01-19,HDFC Bank,1630.050048828125,1649.3499755859375,1630.050048828125,1644.0999755859375
2023-01-20,HDFC Bank,1643.800048828125,1668.0,1642.5999755859375,1660.800048828125
2023-01-23,HDFC Bank,1661.25,1683.300048828125,1661.25,1672.6500244140625
2023-01-24,HDFC Bank,1677.699951171875,1702.0,1675.5,1695.300048828125
2023-01-25,HDFC Bank,1688.5,1692.699951171875,1645.3499755859375,1648.199951171875
2023-01-27,HDFC Bank,1644.1500244140625,1644.1500244140625,1590.3499755859375,1615.8499755859375
2023-01-30,HDFC Bank,1602.0,1625.0,1582.050048828125,1614.300048828125
2023-01-31,HDFC Bank,1617.800048828125,1622.699951171875,1595.0,1603.449951171875
2023-02-01,HDFC Bank,1616.25,1664.1500244140625,1606.75,1627.050048828125
2023-02-02,HDFC Bank,1614.949951171875,1623.699951171875,1589.1500244140625,1603.25
2023-02-03,HDFC Bank,1617.0,1660.0999755859375,1609.800048828125,1658.699951171875
2023-02-06,HDFC Bank,1658.699951171875,1669.25,1646.6500244140625,1651.75
2023-02-07,HDFC Bank,1652.3499755859375,1661.0,1632.25,1653.4000244140625
2023-02-08,HDFC Bank,1651.550048828125,1668.0999755859375,1648.0999755859375,1653.5999755859375
2023-02-09,HDFC Bank,1661.0,1661.0,1635.5,1649.300048828125
2023-02-10,HDFC Bank,1646.0,1658.5,1643.199951171875,1656.449951171875
2023-02-13,HDFC Bank,1656.449951171875,1661.8499755859375,1644.449951171875,1658.5999755859375
2023-02-14,HDFC Bank,1661.0,1677.4000244140625,1659.0,1673.300048828125
2023-02-15,HDFC Bank,1673.0,1676.3499755859375,1657.4000244140625,1668.699951171875
2023-02-16,HDFC Bank,1670.5999755859375,1681.3499755859375,1661.0,1664.75
2023-02-17,HDFC Bank,1640.0,1667.0,1640.0,1656.300048828125
2023-02-20,HDFC Bank,1657.550048828125,1668.699951171875,1634.550048828125,1639.800048828125
2023-02-21,HDFC Bank,1637.0,1661.449951171875,1635.0,1646.949951171875
2023-02-22,HDFC Bank,1639.199951171875,1642.050048828125,1608.9000244140625,1614.550048828125
2023-02-23,HDFC Bank,1613.050048828125,1616.5999755859375,1592.300048828125,1603.3499755859375
2023-02-24,HDFC Bank,1619.3499755859375,1619.3499755859375,1585.25,1588.449951171875
2023-02-27,HDFC Bank,1585.0,1598.5999755859375,1577.1500244140625,1592.6500244140625
2023-02-28,HDFC Bank,1592.6500244140625,1605.0999755859375,1588.800048828125,1601.25
2023-03-01,HDFC Bank,1606.5,1612.3499755859375,1595.300048828125,1597.75
2023-03-02,HDFC Bank,1590.550048828125,1606.0,1582.199951171875,1584.6500244140625
2023-03-03,HDFC Bank,1596.0,1619.449951171875,1587.6500244140625,1615.550048828125
2023-03-06,HDFC Bank,1618.0,1638.5999755859375,1618.0,1626.3499755859375
2023-03-08,HDFC Bank,1622.0,1639.5,1621.199951171875,1630.4000244140625
2023-03-09,HDFC Bank,1633.449951171875,1644.949951171875,1626.949951171875,1631.550048828125
2023-03-10,HDFC Bank,1602.1500244140625,1613.5999755859375,1585.0,1588.6500244140625
