Date,Index,Open,High,Low,Close
2023-01-02,Nifty Bank Index,43038.25,43382.75,42961.75,43203.1015625
2023-01-03,Nifty Bank Index,43151.44921875,43482.80078125,43148.44921875,43425.25
2023-01-04,Nifty Bank Index,43417.5,43578.3984375,42858.6484375,42958.80078125
2023-01-05,Nifty Bank Index,43073.05078125,43137.55078125,42298.6015625,42608.69921875
2023-01-06,Nifty Bank Index,42649.69921875,42685.8984375,41877.0,42188.80078125
2023-01-09,Nifty Bank Index,42404.8515625,42716.80078125,42186.55078125,42582.75
2023-01-10,Nifty Bank Index,42642.0,42674.25,41835.75,42014.75
2023-01-11,Nifty Bank Index,42071.8515625,42318.0,41729.0,42232.69921875
2023-01-12,Nifty Bank Index,42238.5,42343.5,41742.94921875,42082.25
2023-01-13,Nifty Bank Index,42171.25,42453.94921875,41885.6015625,42371.25
2023-01-16,Nifty Bank Index,42622.5,42715.6484375,42066.55078125,42167.55078125
2023-01-17,Nifty Bank Index,42241.19921875,42383.80078125,41861.1015625,42235.05078125
2023-01-18,Nifty Bank Index,42271.80078125,42555.8984375,42119.6484375,42458.0
2023-01-19,Nifty Bank Index,42416.30078125,42506.25,42234.8984375,42328.8515625
2023-01-20,Nifty Bank Index,42516.05078125,42709.19921875,42366.1484375,42506.80078125
2023-01-23,Nifty Bank Index,42891.44921875,43005.8515625,42727.69921875,42821.25
2023-01-24,Nifty Bank Index,42994.44921875,43078.8984375,42615.6484375,42733.44921875
2023-01-25,Nifty Bank Index,42703.6015625,42733.05078125,41540.30078125,41647.6484375
2023-01-27,Nifty Bank Index,41382.3515625,41417.8984375,40148.80078125,40345.30078125
2023-01-30,Nifty Bank Index,39856.1484375,40789.55078125,39419.80078125,40387.44921875
2023-01-31,Nifty Bank Index,40563.8515625,40811.6484375,40167.69921875,40655.05078125
2023-02-01,Nifty Bank Index,41115.0,42015.6484375,39490.5,40513.0
2023-02-02,Nifty Bank Index,39943.3515625,40757.6015625,39761.44921875,40669.30078125
2023-02-03,Nifty Bank Index,41019.3515625,41539.94921875,40609.75,41499.69921875
2023-02-06,Nifty Bank Index,41530.1484375,41724.5,41261.19921875,41374.6484375
2023-02-07,Nifty Bank Index,41513.1015625,41630.75,41095.1015625,41490.94921875
2023-02-08,Nifty Bank Index,41542.05078125,41791.94921875,41403.05078125,41537.6484375
2023-02-09,Nifty Bank Index,41634.0,41634.0,41252.94921875,41554.30078125
2023-02-10,Nifty Bank Index,41452.3984375,41678.8984375,41424.8984375,41559.3984375
2023-02-13,Nifty Bank Index,41563.5,41662.55078125,41157.8984375,41282.19921875
2023-02-14,Nifty Bank Index,41410.44921875,41718.0,41195.75,41648.3515625
2023-02-15,Nifty Bank Index,41674.6015625,41795.44921875,41455.6015625,41731.05078125
2023-02-16,Nifty Bank Index,41925.69921875,41979.1015625,41521.94921875,41631.3515625
2023-02-17,Nifty Bank Index,41514.0,41516.30078125,40882.69921875,41131.75
