Stock/Index,Open,High,Low,Close,Adj Close,Volume,Date
HDFC Bank,1592.650024,1605.099976,1588.800049,1601.25,1561.784668,52860,28-02-2023
HDFC Bank,1606.5,1612.349976,1595.300049,1597.75,1558.370972,135141,01-03-2023
HDFC Bank,1590.550049,1606,1582.199951,1584.650024,1545.593872,52670,02-03-2023
HDFC Bank,1596,1619.449951,1587.650024,1615.550049,1575.7323,153928,03-03-2023
HDFC Bank,1618,1638.599976,1618,1626.349976,1586.266113,85501,06-03-2023
HDFC Bank,1622,1639.5,1621.199951,1630.400024,1590.216309,264522,08-03-2023
HDFC Bank,1633.449951,1644.949951,1626.949951,1631.550049,1591.337891,159511,09-03-2023
HDFC Bank,1602.150024,1613.599976,1585,1588.650024,1549.495239,277106,10-03-2023
HDFC Bank,1583.099976,1603.699951,1565,1568.650024,1529.988159,230761,13-03-2023
HDFC Bank,1564.300049,1583.650024,1558.900024,1564.849976,1526.281738,212155,14-03-2023
HDFC Bank,1579.449951,1580.849976,1536.050049,1540.75,1502.775757,143141,15-03-2023
HDFC Bank,1541.550049,1559.150024,1532.300049,1551.449951,1513.212036,331063,16-03-2023
HDFC Bank,1560,1578.650024,1540.449951,1572.550049,1533.792114,83171,17-03-2023
HDFC Bank,1568,1568,1545.150024,1561.099976,1522.624268,89277,20-03-2023
HDFC Bank,1574,1582.099976,1556.550049,1579.400024,1540.473267,105900,21-03-2023
HDFC Bank,1581.349976,1585.550049,1566.150024,1575.300049,1536.474365,57172,22-03-2023
HDFC Bank,1569.900024,1590,1559.699951,1562.650024,1524.136108,93088,23-03-2023
HDFC Bank,1562,1573.550049,1554.699951,1561.75,1523.258179,80834,24-03-2023
HDFC Bank,1560.099976,1579.400024,1559,1565.449951,1526.867065,128954,27-03-2023
HDFC Bank,1566,1582.349976,1565,1580.150024,1541.204834,102415,28-03-2023
HDFC Bank,1576.599976,1602,1576.599976,1588.400024,1549.251465,80574,29-03-2023
HDFC Bank,1588.400024,1612.849976,1588.400024,1609.75,1570.075195,260941,31-03-2023
HDFC Bank,1604.300049,1615.449951,1602.550049,1610.349976,1570.6604,155703,03-04-2023
HDFC Bank,1613,1656.099976,1613,1654.099976,1613.332153,183961,05-04-2023
HDFC Bank,1650.400024,1669,1648.099976,1666.300049,1625.231445,198558,06-04-2023
HDFC Bank,1665,1670.800049,1654.5,1658.099976,1617.233521,163677,10-04-2023
HDFC Bank,1659.300049,1668.5,1651.900024,1663.699951,1622.695435,86982,11-04-2023
HDFC Bank,1665.599976,1688,1665.599976,1684.75,1643.226807,217356,12-04-2023
HDFC Bank,1686.050049,1697,1677.699951,1693.300049,1651.56604,165353,13-04-2023
HDFC Bank,1706,1715.849976,1653.650024,1667.050049,1625.963013,341972,17-04-2023
HDFC Bank,1668,1676.900024,1656,1658.25,1617.379761,161423,18-04-2023
HDFC Bank,1664.699951,1669.75,1657.699951,1665.949951,1624.890015,65707,19-04-2023
HDFC Bank,1670.550049,1677.25,1666.75,1672,1630.791016,197592,20-04-2023
HDFC Bank,1665.5,1677,1662.800049,1673.800049,1632.546631,133438,21-04-2023
HDFC Bank,1675.199951,1691.5,1674.550049,1688.449951,1646.835449,137775,24-04-2023
HDFC Bank,1689,1689,1661.099976,1663.599976,1622.5979,423231,25-04-2023
HDFC Bank,1660.199951,1674.400024,1654.849976,1672.199951,1630.985962,100304,26-04-2023
HDFC Bank,1672.199951,1685.449951,1666.050049,1681.050049,1639.618042,203628,27-04-2023
HDFC Bank,1682.599976,1690.949951,1670,1688.050049,1646.445435,268231,28-04-2023
HDFC Bank,1688.25,1698.550049,1682,1686.5,1644.933472,134553,02-05-2023
HDFC Bank,1686,1696.650024,1680.099976,1692.050049,1650.346802,138307,03-05-2023
HDFC Bank,1692,1733.949951,1688.550049,1727.199951,1684.630371,517203,04-05-2023
HDFC Bank,1637,1661.050049,1622,1625.349976,1585.290649,557873,05-05-2023
HDFC Bank,1635,1650,1630,1645.25,1604.700195,201469,08-05-2023
HDFC Bank,1650,1655.699951,1639.550049,1643.199951,1602.700684,434207,09-05-2023
HDFC Bank,1644,1654.300049,1633.900024,1652,1611.283936,76000,10-05-2023
HDFC Bank,1667,1668,1649.550049,1653.699951,1612.941895,172580,11-05-2023
HDFC Bank,1649,1672.199951,1643.599976,1667.599976,1626.49939,277671,12-05-2023
HDFC Bank,1674,1681,1665.349976,1676.199951,1634.887451,119331,15-05-2023
HDFC Bank,1673.699951,1673.699951,1644.099976,1646.75,1624.578125,166208,16-05-2023
HDFC Bank,1647.099976,1649.650024,1625.400024,1638.650024,1616.587158,82489,17-05-2023
HDFC Bank,1645.349976,1649.5,1632,1647.400024,1625.21936,157281,19-05-2023
HDFC Bank,1644.699951,1652.5,1632.949951,1640.550049,1618.46167,152948,22-05-2023
HDFC Bank,1647.699951,1647.699951,1634.050049,1636.800049,1614.762085,97923,23-05-2023
HDFC Bank,1633.949951,1634.599976,1614.099976,1615.650024,1593.896851,130330,24-05-2023
HDFC Bank,1616,1620.5,1597.550049,1609.599976,1587.928223,105911,25-05-2023
HDFC Bank,1616.099976,1618.5,1602,1615.5,1593.748901,148903,26-05-2023
HDFC Bank,1633,1642,1628.150024,1637.050049,1615.008789,75603,30-05-2023
HDFC Bank,1633.800049,1634.400024,1605,1611.349976,1589.654663,199983,31-05-2023
HDFC Bank,1622,1622,1600.400024,1604.099976,1582.502319,187653,01-06-2023
HDFC Bank,1609.050049,1615.5,1601.25,1606.150024,1584.52478,172225,02-06-2023
HDFC Bank,1617,1617,1602.25,1604.5,1582.896973,68159,05-06-2023
HDFC Bank,1604.199951,1608.599976,1592.400024,1600.300049,1578.75354,193411,06-06-2023
HDFC Bank,1601.300049,1611.650024,1596.599976,1607.75,1586.103149,178373,07-06-2023
HDFC Bank,1605,1625.849976,1604,1608.900024,1587.237793,270381,08-06-2023
HDFC Bank,1613.25,1618.449951,1607,1610.550049,1588.865601,161312,09-06-2023
HDFC Bank,1612.949951,1616,1599,1600.599976,1579.049438,68866,12-06-2023
HDFC Bank,1590,1609.050049,1590,1604.699951,1583.094238,80587,13-06-2023
HDFC Bank,1606.199951,1612.699951,1600,1602,1580.430664,230412,14-06-2023
HDFC Bank,1601.550049,1606,1580,1581.550049,1560.255981,281757,15-06-2023
HDFC Bank,1584.199951,1609.199951,1583.449951,1602.099976,1580.529297,92163,16-06-2023
HDFC Bank,1608,1614.75,1598,1603.650024,1582.058472,108569,19-06-2023
HDFC Bank,1605,1610.949951,1590.900024,1608.300049,1586.645874,68084,20-06-2023
HDFC Bank,1615.349976,1637,1611.5,1635.800049,1613.775635,2173679,21-06-2023
HDFC Bank,1641.25,1656.900024,1638.300049,1643.650024,1621.519897,475118,22-06-2023
HDFC Bank,1640.650024,1659.900024,1634.050049,1643.449951,1621.32251,665635,23-06-2023
HDFC Bank,1644.050049,1650.849976,1629.300049,1635.400024,1613.380981,61503,26-06-2023
HDFC Bank,1644.900024,1672,1638.400024,1658,1635.676636,174055,27-06-2023
HDFC Bank,1672.900024,1679.849976,1661,1676.400024,1653.828857,218612,28-06-2023
HDFC Bank,1695,1708.599976,1682.900024,1701.75,1678.837524,1225590,30-06-2023
HDFC Bank,1669.949951,1675,1655.75,1660.75,1638.389648,505656,07-07-2023
HDFC Bank,1664.349976,1676.849976,1650,1656.300049,1633.999512,245458,10-07-2023
